date,title,first_prize,front_three,back_three,back_two
2021-02-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กุมภาพันธ์ 2564,912307,"605,248","282,651",97
2021-01-17,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 17 มกราคม 2564,384395,"367,653","566,878",15
2020-12-30,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 30 ธันวาคม 2563,803628,"336,804","321,924",19
2020-12-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ธันวาคม 2563,201303,"377,828","072,517",70
2020-12-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ธันวาคม 2563,100994,"093,776","834,984",84
2020-11-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤศจิกายน 2563,972661,"368,741","208,255",46
2020-11-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 พฤศจิกายน 2563,506404,"154,598","062,245",40
2020-10-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ตุลาคม 2563,286051,"189,464","980,045",38
2020-10-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ตุลาคม 2563,837893,"594,757","110,595",59
2020-09-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กันยายน 2563,244083,"127,220","623,853",57
2020-09-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กันยายน 2563,999997,"636,725","342,957",98
2020-08-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 สิงหาคม 2563,945811,"712,614","364,733",88
2020-08-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 สิงหาคม 2563,569391,"575,931","578,809",92
2020-07-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กรกฎาคม 2563,873286,"510,533","682,494",53
2020-07-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กรกฎาคม 2563,347258,"095,362","094,307",83
2020-06-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มิถุนายน 2563,516967,"876,882","565,625",64
2020-06-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มิถุนายน 2563,831567,"264,489","562,582",24
2020-05-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤษภาคม 2563,051095,"285,430","191,364",22
2020-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2563,051095,"285,430","191,364",22
2020-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2563,503446,"258,726","404,661",77
2020-03-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มีนาคม 2563,875938,"294,328","597,780",98
2020-02-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กุมภาพันธ์ 2563,781403,"515,952","030,918",94
2020-02-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กุมภาพันธ์ 2563,589227,"259,552","375,927",06
2020-01-17,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 17 มกราคม 2563,491774,"004,132","379,595",68
2019-12-30,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 30 ธันวาคม 2562,510541,"116,382","140,250",81
2019-12-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ธันวาคม 2562,529924,"043,138","555,665",97
2019-12-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ธันวาคม 2562,453522,"617,261","457,013",81
2019-11-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤศจิกายน 2562,017223,"164,640","085,194",32
2019-11-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 พฤศจิกายน 2562,967375,"323,806","021,206",79
2019-10-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 ตุลาคม 2562,812564,"255,625","132,598",15
2019-10-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 ตุลาคม 2562,691197,"392,920","606,797",59
2019-09-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กันยายน 2562,340388,"947,733","925,939",85
2019-09-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กันยายน 2562,798787,"210,847","274,439",20
2019-08-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 สิงหาคม 2562,775476,"149,912","563,580",89
2019-08-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 สิงหาคม 2562,387006,"135,983","562,795",58
2019-07-15,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 15 กรกฎาคม 2562,369765,"901,355","556,113",88
2019-07-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 กรกฎาคม 2562,943647,"239,864","006,375",86
2019-06-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มิถุนายน 2562,174055,"625,884","127,800",29
2019-06-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มิถุนายน 2562,516461,"589,713","215,560",46
2019-05-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 พฤษภาคม 2562,962526,"669,949","018,828",71
2019-05-02,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 2 พฤษภาคม 2562,061324,"043,476","374,699",25
2019-04-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 เมษายน 2562,570331,"512,930","966,968",23
2019-04-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 เมษายน 2562,109767,"888,959","403,975",52
2019-03-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 มีนาคม 2562,724628,"148,883","154,877",64
2019-03-01,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 1 มีนาคม 2562,345650,"137,999","830,837",65
2019-02-16,ตรวจสลากกินแบ่งรัฐบาล ตรวจหวย 16 กุมภาพันธ์ 2562,074824,"881,910","612,879",56
